oil_concentration,fertilized,sample_id,nC6CH,nC7CH,nC8CH,nC9CH,nC10CH,nC11CH,nC12CH,nC13CH,nC14CH,nC4B,nC5B,nC6B,nC7B,nC8B,nC9B,nC10B,nC11B,nC12B,nC13B,nC14B,nC15B,nC16B,nC17B,nC18B,nC19B
5,y,5FT0,14.32237274,20.30742289,21.10335559,15.19770182,15.96152885,4.591386911,2.07349029,3.214080949,3.22865995,26.58154426,13.74861901,9.822270991,8.088694138,10.6188467,6.688202297,1.807975592,0,0,0,0,0,0,10.41505349,12.22879352,0
5,y,5FT13,15.88092014,14.08301471,13.17769009,5.094988643,21.44212472,5.702088345,1.949204301,14.15579477,8.51417428,14.89167807,1.368264189,7.959330298,0.879753038,4.218775536,2.434614074,1.067316647,0,1.262658831,1.068274512,0,0,0,22.57954409,41.72795347,0.541837245
5,y,5FTE,48.24760543,51.75239457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25009066,45.29275873,7.45715061
50,n,50T0,16.57078138,24.57686637,20.70456111,13.55730313,10.11652279,2.085527335,5.917381767,3.728398493,2.742657627,26.13853467,15.45063608,14.37039325,13.83313508,13.11491236,7.795484562,2.222498577,2.138114442,1.721789039,1.567167086,0.747995897,0.899338962,0,0,0,0
50,n,50T13,19.7574699,25.84201175,20.82183664,14.48702622,9.174861948,1.666893283,3.801744598,2.613371383,1.834784281,20.21865511,16.49864533,16.87049595,13.89414243,14.97189774,9.023157197,2.521761199,1.65003838,1.14998733,1.221081354,0.518701529,0.523346415,0,0,0.93809003,0
50,n,50TE,17.81787199,23.98260948,19.71733531,14.63002209,10.28150532,1.990270872,4.79446778,3.836383936,2.949533222,13.34314691,7.63806651,15.86850803,17.41375477,18.91219851,11.97874097,4.196924479,3.222779196,2.309247631,2.433175052,1.181556663,0.757577259,0,0,0.744324017,0
50,y,50FT0,21.19705329,28.14107797,21.40052707,13.39920698,9.154828522,1.463880195,2.792535826,1.425438046,1.025452111,25.183877,17.80916275,15.83880155,14.17874846,12.85450296,6.964175584,2.010913184,1.456079996,1.003632894,0.964857765,0.308355688,0.15617041,0.104607746,0,0.557518547,0.608595468
50,y,50FT13,19.46742738,25.76170166,21.52587257,12.93869967,9.083134255,1.907939678,3.708711987,2.646077094,2.960435702,31.2748995,15.89550414,15.28522784,12.5591053,12.26191383,6.502465342,1.678640285,1.413725596,1.024881343,1.024957138,0.346804654,0.349700715,0,0,0.382174322,0
50,y,50FTE,20.1642407,25.47906451,19.06464406,13.2457093,6.76924631,1.920951176,5.430802512,4.433499043,3.491842385,16.24365013,5.640937858,19.36617064,13.09516455,20.22705084,11.34021012,1.477882139,4.465252915,2.412106217,2.854001867,1.448698187,0.980760163,0,0,0,0.448114379
500,y,500FT0,25.88893855,27.92266843,20.15289026,12.23543458,8.46258182,1.959339481,1.518385726,1.223414888,0.636346268,29.01780584,20.98149419,17.16325531,13.5635979,10.80245914,6.284771366,1.736720952,0.449895306,0,0,0,0,0,0,0,0
500,y,500FT13,18.80212996,26.33542045,21.92065982,15.28882303,12.35907413,1.886444928,1.533669624,1.188228946,0.685549112,18.06595858,17.11979613,17.95708686,15.03428594,17.0407282,10.65330866,2.571000337,0.650184052,0.452226563,0.455424677,0,0,0,0,0,0
500,y,500FTE,21.42362262,28.29898128,21.97409283,15.10437959,10.32870154,1.801394492,0.748481568,0.320346076,0,25.83403128,18.94623001,16.99093317,12.971758,15.03619816,8.11074233,2.110107047,0,0,0,0,0,0,0,0,0