oil_concentration,sample_id,n-Hexylcyclohexane,n-Heptylcyclohexane,n-Octylcyclohexane,n-Nonylcyclohexane,n-Decylcyclohexane,n-Undecylcyclohexane,n-Dodecylcyclohexane,n-Tridecylcyclohexane,n-Tetradecylcyclohexane,n-Butylbenzene,n-Pentylbenzene,n-Hexylbenzene,n-Heptylbenzene,n-Octylbenzene,n-Nonylbenzene,n-Decylbenzene,n-Undecylbenzene,n-Dodecylbenzene,n-Tridecylbenzene,n-Tetradecylbenzene,n-Pentadecylbenzene,n-Hexadecylbenzene,n-Heptadecylbenzene,n-Octadecylbenzene,n-Nonadecylbenzene
5,5FT0,14.32237274,20.30742289,21.10335559,15.19770182,15.96152885,4.591386911,2.07349029,3.214080949,3.22865995,20.9307157,10.82587351,7.734206849,6.369161842,8.36144278,5.266393084,1.423627715,2.814249607,2.780273738,2.873664939,2.989294449,3.128350575,3.247181238,8.200972884,9.629139607,3.425451483
5,5FT13,15.88092014,14.08301471,13.17769009,5.094988643,21.44212472,5.702088345,1.949204301,14.15579477,8.51417428,13.67013771,1.256027682,7.306439258,0.807588314,3.872716176,2.234906604,0.979766382,1.895450552,1.159084962,0.980645675,2.013346577,2.107003519,2.187038227,20.72738047,38.30507668,0.497391209
5,5FTE,28.58620287,30.66275387,5.659333363,5.486044322,5.759534167,5.691526392,5.93538859,5.91848725,6.300729172,4.398985859,4.44901992,4.471017274,4.734588774,4.923483887,4.90051671,4.938339815,5.115641132,5.053881027,5.223644172,5.433831313,5.686602509,5.902608589,16.42783545,15.74731344,2.592690119
50,50T0,16.57078138,24.57686637,20.70456111,13.55730313,10.11652279,2.085527335,5.917381767,3.728398493,2.742657627,25.49500102,15.07023969,14.01659256,13.49256174,12.79202175,7.603558858,2.167780413,2.085473825,1.6793984,1.528583257,0.729580154,0.877197136,0.594347445,0.613847126,0.626839516,0.626977119
50,50T13,19.7574699,25.84201175,20.82183664,14.48702622,9.174861948,1.666893283,3.801744598,2.613371383,1.834784281,19.97116913,16.29669405,16.66399303,13.7240715,14.78863457,8.91270945,2.490893639,1.629841123,1.135910936,1.206134736,0.512352375,0.516940405,0.396425916,0.409432078,0.926607361,0.418189698
50,50TE,17.81787199,23.98260948,19.71733531,14.63002209,10.28150532,1.990270872,4.79446778,3.836383936,2.949533222,13.02924241,7.458377006,15.49519309,17.00408709,18.46727916,11.69693483,4.098189638,3.146961632,2.254921374,2.375933338,1.153759925,0.739754858,0.761908772,0.786905899,0.726813406,0.803737563
50,50FT0,21.19705329,28.14107797,21.40052707,13.39920698,9.154828522,1.463880195,2.792535826,1.425438046,1.025452111,25.10189053,17.75118477,15.78723811,14.13258934,12.81265494,6.941503613,2.004366628,1.451339707,1.000365553,0.961716657,0.307351832,0.155661995,0.104267194,0.325551411,0.555703537,0.606614177
50,50FT13,19.46742738,25.76170166,21.52587257,12.93869967,9.083134255,1.907939678,3.708711987,2.646077094,2.960435702,30.82561411,15.66715432,15.06564505,12.37868513,12.08576302,6.409052965,1.654525465,1.393416457,1.01015822,1.010232925,0.341822567,0.344677024,0.465253958,0.480518268,0.376684125,0.490796399
50,50FTE,20.1642407,25.47906451,19.06464406,13.2457093,6.76924631,1.920951176,5.430802512,4.433499043,3.491842385,15.74054012,5.466222677,18.76634768,12.68957171,19.60056408,10.98897298,1.432108111,4.326951893,2.337396729,2.76560567,1.403828065,0.950383354,1.00317244,1.036085079,1.058014351,0.434235058
500,500FT0,25.88893855,27.92266843,20.15289026,12.23543458,8.46258182,1.959339481,1.518385726,1.223414888,0.636346268,28.68718148,20.74243431,16.96769985,13.40905637,10.6793776,6.213163659,1.716933024,0.444769269,0.125593575,0.129812345,0.135035688,0.141317284,0.146685233,0.151497763,0.154704291,0.154738252
500,500FT13,18.80212996,26.33542045,21.92065982,15.28882303,12.35907413,1.886444928,1.533669624,1.188228946,0.685549112,17.97901865,17.03740947,17.87067085,14.96193552,16.95872204,10.60204108,2.558627753,0.647055131,0.450050285,0.453233009,0.07351317,0.076932859,0.07985516,0.082475092,0.08422072,0.084239208
500,500FTE,21.41435437,28.28673863,21.96458643,15.09784516,10.32423316,1.800615175,0.748157762,0.320207488,0.043261832,25.64186028,18.80529513,16.86454312,12.87526529,14.92434874,8.050409142,2.094410644,0.074666977,0.073765537,0.076243369,0.079311223,0.083000626,0.086153412,0.088979981,0.090863288,0.090883234