oil_concentration,fertilized,sample_id,Naph,x2MNaph,x1MNaph,x16DMNaph,Acy,Ace,x235TMNaph,Fluor,DBThio,Phen,Ant,x2MDBThio,x2MPhen,x28DMDBThio,x24DMPhen,Pyr,x126TMPhen,x128TMPhen,x1MFlant,BePhen,BaAnt,Trip,Chry,x1MChry,x6EChry,BbFlant,BkFlant,BjFlant,BeP,BaP,Perl,DBahAnt,I123cdPyr,BghiPerl
5,y,5FT0,3.963503679,28.33108704,18.7377651,24.19071343,0.978946377,1.160237322,12.61953622,1.886555273,0.004116843,0.845347709,0,0,2.506353314,0.004583702,1.384208086,0.468767605,0.517767701,0.30158796,0.082105463,0.077904044,0.203651891,0.349718816,0.12158833,0.200759942,0.241307487,0.090697089,0.127221927,0.138630788,0.167278078,0,0,0.069948711,0.043718707,0.18439137
5,y,5FT13,2.354383147,25.09539931,21.61006525,27.3576515,0.853436605,1.245613734,14.10712845,1.95048827,0.001843743,0.789469746,0,0,2.340868272,0.002007206,0.932236957,0.367864663,0.251122545,0.110369044,0.059325319,0,0,0.074888193,0.050618288,0.011935382,0.068819449,0.017280555,0.075771851,0,0,0.069249553,0,0.134045267,0.0681177,0
5,y,5FTE,0,6.150633471,0,0,0.561541272,1.806605087,7.361307932,0.196948612,0,1.349116192,0,0.276416778,1.101573964,0,2.582764953,0,16.00012214,2.138949042,1.017568335,2.370908367,0,1.312011385,9.81870288,17.68421724,0,1.487749365,5.415694781,8.949206647,2.348068716,0,2.816525511,2.49225871,1.957866594,2.803242034
50,n,50T0,4.855750941,27.99019537,19.06774558,19.2277687,0.968973686,0.978021238,8.921643674,3.241202573,0.024155391,1.55568692,0,0.034568863,6.028995623,0.041888975,2.964756899,0.986026465,1.009481971,0.520266041,0.18979602,0.125144599,0.09904957,0.221664616,0.128395746,0.144146363,0.141725284,0.09046578,0.081803951,0.091814191,0.076367081,0.024431385,0,0.057211592,0.053856462,0.05699845
50,n,50T13,4.780483214,29.78941115,19.5896627,22.61064637,0.999700804,1.106973386,11.3547927,2.089794723,0.017447812,0.908377036,0,0.02819026,3.289859214,0.025388754,1.583415569,0.559291055,0.540647494,0.266287498,0.076722466,0.039378472,0.008938281,0.04285835,0.030820491,0.031478896,0.031266592,0.027027475,0.040700689,0,0.028076076,0.014066356,0,0.015335541,0.036967987,0.035992583
50,n,50TE,0.741376823,26.65010934,16.94536325,27.48635676,0.96000554,1.163679822,11.23499132,3.04272571,0.023406193,1.312051873,0,0.031488654,4.903812028,0.03783135,2.67457337,0.881068912,0.892947642,0.544773056,0.113135726,0.082233307,0.006395883,0.075030504,0.036034573,0.009779517,0.007415165,0.03786674,0.008981485,0,0.038763668,0,0,0,0.009672231,0.048129551
50,y,50FT0,4.879033076,28.07542272,18.7438188,22.92169139,1.09760901,1.144462206,11.48892241,2.539089314,0.019464522,1.101438177,0.00139677,0.040922776,4.127074297,0.033616666,1.950412207,0.38335603,0.367936893,0.218599787,0.101844001,0.018399345,0.035183858,0.107605605,0.099513508,0.068092513,0.068357644,0.050412437,0.047917411,0.052956103,0.053959615,0.036979646,0.022032616,0.024469432,0.024896433,0.05311279
50,y,50FT13,2.56790399,30.89527048,21.4938594,23.32655717,1.047122102,1.038956232,9.765897017,1.975459331,0.021677228,0.878249207,0,0.028372512,3.084408676,0.03262827,1.62631072,0.667613287,0.548726124,0.420286953,0.08050644,0.043424492,0.036051682,0.027327909,0.039804773,0.039318275,0,0.037118137,0.059355965,0,0.030975806,0.031377047,0,0.066641833,0.053841289,0.034957645
50,y,50FTE,0.961506904,10.98172501,12.72737549,29.17686731,1.605601842,1.789345965,16.45566866,5.397253807,0.042072838,1.620728142,0,0.064216253,8.89372013,0.073807074,4.909913291,1.766571302,1.705730359,0.805448872,0.214617768,0.154765071,0.05421782,0.09264232,0.070512209,0.085643222,0,0.064893285,0.063262525,0,0.06644639,0,0,0.019526181,0.060646457,0.075273507
500,y,500FT0,5.828576962,29.82227922,20.5398359,24.00705127,1.059422676,1.070616579,10.91473376,1.519539673,0.026106322,0.651138011,0,0.033996168,2.315035685,0.03643932,1.054767813,0.340082357,0.269744069,0.121394453,0.055750357,0.040189973,0.042346336,0.039771182,0.040967553,0.042964253,0,0.040476957,0.012202601,0,0.037011867,0,0,0,0,0.037558693
500,y,500FT13,2.417162315,31.44442508,20.86227049,23.20703987,1.116297949,1.171647429,12.21399085,1.619407883,0.024639344,0.762582321,0,0.033790688,2.565766405,0.035433379,1.237373311,0.414024009,0.353885761,0.164764407,0.060954733,0.041545711,0.015451015,0.044399553,0.03793342,0.040382192,0,0.038716869,0,0,0.036428683,0,0,0,0,0.039686326
500,y,500FTE,0.119275436,31.43096527,20.09680832,26.00537793,1.073438402,1.163526753,12.83366653,1.594720106,0.015618488,0.687624302,0,0.026550546,2.568501824,0.025481841,1.227269201,0.377949052,0.341803615,0.150204953,0.051219376,0.029018524,0.023882036,0.026773306,0.024213892,0.025895352,0.008503488,0.023988354,0,0,0.022802204,0,0,0,0,0.024920894